archive_id,ad_creative_body,page_name,partisanship
193214261890684,"President Trump has made enough broken promises. Now, it's time for a change.",Mike Bloomberg,liberal
190619788952147,"President Trump has made enough broken promises. Now, it's time for a change.",Mike Bloomberg,liberal
285355426019185,"America is in a time of crisis. But we can’t just build back to the way things were before these crises — we have to build back better. 

If you’re ready to elect a president who will fight for working people, protect our environment for the generations to come, and work to heal our deepest divisions, add your name right now.",Joe Biden,liberal
1043009652735139,The only constant in Trump's White House is chaos.,Mike Bloomberg,liberal
1304514473246395,"Every single day since Donald Trump was elected, we’ve been looking forward to this – finally, Election Day is here.

Take just a minute right now to confirm your polling place, and then get out and vote Trump out on Tuesday, Nov. 3!",Joe Biden,liberal
2725109457570212,We cannot afford four more years of broken promises.,Mike Bloomberg,liberal
2604672743078156,𝐔𝐑𝐆𝐄𝐍𝐓 𝐩𝐞𝐭𝐢𝐭𝐢𝐨𝐧 𝐟𝐨𝐫 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐬: 𝐃𝐨 𝐲𝐨𝐮 𝐬𝐮𝐩𝐩𝐨𝐫𝐭 𝐯𝐨𝐭𝐞-𝐛𝐲-𝐦𝐚𝐢𝐥? Sign the petition to demand Congress implement vote-by-mail for all Americans >>,Democratic Governors Association (DGA),liberal
795483590962756,"Our country has a rich history of presidents who respected the power, decorum, and influence of their office.vUnfortunately, that rich history ended the day Trump became president.",Mike Bloomberg,liberal
203509827494504,"Donald Trump told workers he supports us, but said he’d abolish the minimum wage. Mike Bloomberg will raise it to $15/hour.",Mike Bloomberg,liberal
359446442059705,"Here’s the deal: The new voter suppression bill in Georgia is proof that the GOP is hellbent on ushering in Jim Crow 2.0. 

And it doesn’t stop there. At this very moment, Republicans have legislation all over the country trying to restrict access to the ballot box. 

We can’t let Republicans get away with this heinous attack on our democracy. Add your name today if you’re ready to help Jaime and Democrats nationwide fight voter suppression >>",Democratic Party,liberal
3318824581536562,,Joe Biden,liberal
182196493007262,Are you caucusing for Tom on February 22?,Tom Steyer,liberal
354131005912906,"𝟐𝟎𝟐𝟎 𝐑𝐀𝐂𝐄 𝐔𝐏𝐃𝐀𝐓𝐄 | 𝐏𝐨𝐥𝐥𝐬 𝐭𝐢𝐠𝐡𝐭𝐞𝐧𝐢𝐧𝐠 𝐢𝐧 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭𝐢𝐚𝐥 𝐫𝐚𝐜𝐞: Donald Trump is tightening Joe Biden’s lead in MUST-WIN swing states, and Democrats aren’t responding! We need 3,768 more Democrats in your area – including you – to tell us before 11:59 p.m.: Will you vote for Joe Biden?",Democratic Governors Association (DGA),liberal
561980768038832,"This administration’s plan for getting the economy back on track is more tax cuts for big corporations and wealthy shareholders.

We need to build back our economy by putting the needs of American workers and their families first. 

Hold This Administration Accountable For Their Corruption >>",Democratic Party,liberal
194427462007521,"𝐇𝐔𝐆𝐄 𝐒𝐇𝐈𝐅𝐓 𝐈𝐍 𝐓𝐇𝐄 𝐏𝐎𝐋𝐋𝐒: 𝐍𝐄𝐄𝐃 𝐘𝐎𝐔𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄 𝐍𝐎𝐖

𝐘𝐎𝐔𝐑 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐒𝐓𝐑𝐀𝐖 𝐏𝐎𝐋𝐋 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄
𝐘𝐎𝐔𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄: MISSING
𝐏𝐎𝐋𝐋 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄: 11:59 P.M.
𝐀𝐃𝐃𝐈𝐓𝐈𝐎𝐍𝐀𝐋 𝐕𝐎𝐓𝐄𝐒 𝐍𝐄𝐄𝐃𝐄𝐃: 485
𝐓𝐞𝐥𝐥 𝐮𝐬 𝐛𝐞𝐟𝐨𝐫𝐞 𝐦𝐢𝐝𝐧𝐢𝐠𝐡𝐭: Who’s your pick for the Democratic presidential nominee? Bernie Sanders or Joe Biden?",Democratic Governors Association (DGA),liberal
719553848574586,No more climate deniers in the White House. Mike Bloomberg will restore real leadership on climate change.,Mike Bloomberg,liberal
624194198149049,President Obama and Mike Bloomberg worked together in the fight for gun safety laws. They know true leadership is bringing people together with sensible solutions. From better schools to expanding opportunity for everyone. That’s how Mike gets things done.,Mike Bloomberg,liberal
829440627518793,Learn how Donald Trump has hurt our health care:,Mike Bloomberg,liberal
243611810419676,"Sorry to interrupt your scrolling, but it’s important you see this: Ruth Bader Ginsburg was a pioneer for women’s equality, reproductive rights and civil rights for every American. But right now, Mitch McConnell wants to roll back this progress by forcing Trump’s nominee through the confirmation process before Election Day.
 
Moving forward with this nomination would be the greatest threat to the ACA and Roe v. Wade in our lifetimes, so we urgently need 1,311 more people to take action before midnight. Sign the petition to demand that the Senate wait to confirm a new Supreme Court justice!",Democratic Governors Association (DGA),liberal
188130712412714,Can you make a donation to help us carry out victory from Iowa to New Hampshire and all across the country? The only way to keep up our momentum is by continuing to build the most powerful grassroots movement in American history.,Bernie Sanders,liberal
2877631705629943,Over the years you have heard a lot of talk. Let me show you how I will get it done!,Mike Bloomberg,liberal
2623235827930695,"Trump will try to win by dividing the country, but it won't work. Mike Bloomberg will unite us and bring America from chaos to progress.",Mike Bloomberg,liberal
197490174819450,"Trump has watched as our drug prices continue to rise.

Protecting our health care is a joke to Donald Trump!",Mike Bloomberg,liberal
195237081719202,Another day another White House drama.,Mike Bloomberg,liberal
856225478143621,"Mike Bloomberg will expand access to health care, lower costs, and protect Americans with pre-existing conditions.",Mike Bloomberg,liberal
641990543343775,"🔴 BREAKING POLL: Lindsey Graham is LOSING to Democrat Jaime Harrison

Now Lindsey Graham is on Fox News BEGGING his supporters for donations -- and it’s WORKING. His dark money friends are scrambling to save his campaign. We CAN’T let Lindsey retake the lead. Defeating him is CRITICAL to flipping the Senate.

Our South Carolina Democratic Turnout Operation is in full swing, BUT: we’re BEHIND on our $400,000 weekly goal. If we fall short, we will have no choice but to pack up (NO!!). Generous donors are now 500%-Matching ALL donations for the next 24 hours to help us catch up. Rush $10 (500%-Matched to $50) Right Now to DEFEAT Lindsey Graham >>",Progressive Turnout Project,liberal
819766895154147,We need a candidate who can beat Trump. Spoiler alert: Mike can do it.,Mike Bloomberg,liberal
302120687781874,"The USPS is one of the most essential services the government provides. Because of it, every household in this country can receive mail every day — whether you live in a large coastal city or a small midwestern town. And the USPS is one of the largest employers of veterans in the country, giving folks who have served our country access to good-paying union jobs. 

But Republicans have been attacking the USPS for years. And now, Trump’s hand-picked postmaster general is trying to cut USPS services for Americans and cut benefits for post office workers. This is unacceptable. We must elect Joe Biden and Democrats and save the USPS. Sign on if you agree.",Joe Biden,liberal
297467591384751,"WISH PRESIDENT OBAMA A HAPPY BIRTHDAY >>

We're surprising President Obama with a birthday card from Democrats across the country—but we’re missing your name! 

Sign the card and tell him your favorite memory from his presidency!",Democratic Party,liberal
699830067447436,"For months, this administration ignored warning signs and downplayed the severity of this public health crisis.

It failed to respond quickly, and now we are paying the price.

We want to know: Do you approve of this administration’s response to COVID-19?",Democratic Party,liberal
1318608088349634,"President Trump has made enough broken promises. Now, it's time for a change.",Mike Bloomberg,liberal
129010385206875,"1.3 million active duty soliders are sacrificing to protect America.

Their commander-in-chief? He says ""I'm the only one that matters.""

We need a president who respects our military.",Mike Bloomberg,liberal
257833641884901,"🚨 𝐇𝐔𝐆𝐄 𝐒𝐇𝐈𝐅𝐓 𝐈𝐍 𝐓𝐇𝐄 𝐏𝐎𝐋𝐋𝐒: 𝐍𝐄𝐄𝐃 𝐘𝐎𝐔𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄 𝐍𝐎𝐖 🚨

𝐘𝐎𝐔𝐑 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐒𝐓𝐑𝐀𝐖 𝐏𝐎𝐋𝐋 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄
𝐘𝐎𝐔𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄: MISSING
𝐏𝐎𝐋𝐋 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄: 11:59 P.M.
𝐀𝐃𝐃𝐈𝐓𝐈𝐎𝐍𝐀𝐋 𝐕𝐎𝐓𝐄𝐒 𝐍𝐄𝐄𝐃𝐄𝐃: 485
𝐓𝐞𝐥𝐥 𝐮𝐬 𝐛𝐞𝐟𝐨𝐫𝐞 𝐦𝐢𝐝𝐧𝐢𝐠𝐡𝐭: Who’s your pick for the Democratic presidential nominee? Bernie Sanders or Pete Buttigieg?",Democratic Governors Association (DGA),liberal
339281120740690,"You’ve been selected: We need committed Democrats to vote from home and help us win in November!

Every single vote is crucial this year, so please take just a few minutes to sign up and request your ballot now!",Joe Biden,liberal
806010656469963,"[Donate Now] Democrat Jaime Harrison needs your help! Lindsey Graham and his ultra-rich donors are flooding this race with dark money donations. If we’re going to win in November, we’ve got to hit every fundraising goal. So please, chip in $5 to help us meet our $450,000 End of Quarter fundraising goal and DEFEAT Lindsey Graham.",Jaime Harrison,liberal
345357093218829,"You’ve been selected: We need committed Democrats to vote from home and help us win in November!

Every single vote is crucial this year, so please take just a few minutes to sign up and request your ballot now!",Joe Biden,liberal
581107335893979,{{product.brand}},Joe Biden,liberal
591161341730933,"With the New Hampshire primary just a few days away, we are surging. But our success has invited MILLIONS of dollars of super PAC spending against us. And make no mistake about it: they are just getting started. 

Can you make a donation before the New Hampshire primary to help us fight back? It will only get harder as we are more successful, and the only way we will be able to rise above their attacks is if we stand together.",Bernie Sanders,liberal
1427265557444751,"President Trump has made enough broken promises. Now, it's time for a change.",Mike Bloomberg,liberal
